neighborhood_manhattan,neighborhood_brooklyn,neighborhood_bronx,neighborhood_queens,neighborhood_staten_island,room_type_private,room_type_entire,room_type_shared,expensive,number_of_reviews,reviews_per_month,calculated_host_listings_count,price
1,0,0,0,0,0,1,0,1,205,1.96,1,189.0
1,0,0,0,0,0,1,0,1,94,0.96,1,250.0
1,0,0,0,0,0,1,0,1,7,0.07,1,239.0
1,0,0,0,0,0,1,0,1,108,1.09,1,305.0
1,0,0,0,0,0,1,0,1,222,2.1,2,155.0
1,0,0,0,0,1,0,0,0,458,4.58,2,60.0
0,1,0,0,0,1,0,0,1,21,0.26,1,135.0
1,0,0,0,0,1,0,0,1,17,0.3,1,120.0
1,0,0,0,0,0,1,0,1,41,0.39,1,150.0
0,0,0,1,0,0,1,0,1,1,0.01,5,140.0
0,1,0,0,0,0,1,0,1,69,0.67,1,135.0
1,0,0,0,0,0,1,0,1,18,0.18,2,250.0
1,0,0,0,0,0,1,0,1,82,0.78,1,250.0
1,0,0,0,0,0,1,0,1,94,0.99,1,500.0
1,0,0,0,0,0,1,0,1,10,0.1,1,225.0
1,0,0,0,0,0,1,0,1,183,1.83,2,125.0
1,0,0,0,0,1,0,0,0,189,1.82,5,92.0
1,0,0,0,0,1,0,0,1,1,0.11,1,175.0
1,0,0,0,0,0,1,0,0,127,1.22,1,99.0
1,0,0,0,0,0,1,0,1,4,0.04,1,195.0
1,0,0,0,0,0,1,0,1,135,1.3,3,140.0
1,0,0,0,0,0,1,0,1,21,0.2,1,135.0
1,0,0,0,0,0,1,0,1,35,0.34,1,500.0
1,0,0,0,0,1,0,0,0,10,2.21,2,80.0
1,0,0,0,0,1,0,0,1,171,1.8,2,120.0
1,0,0,0,0,0,1,0,1,92,0.9,1,110.0
0,1,0,0,0,0,1,0,0,238,2.3,1,65.0
1,0,0,0,0,0,1,0,1,56,0.58,1,130.0
0,1,0,0,0,0,1,0,0,111,2.13,1,99.0
0,0,0,0,1,1,0,0,0,193,1.85,6,36.0
0,0,0,0,1,1,0,0,0,147,1.44,6,37.0
0,0,0,0,1,1,0,0,0,177,1.71,6,37.0
1,0,0,0,0,0,1,0,1,185,1.78,2,175.0
1,0,0,0,0,0,1,0,1,62,0.7,2,205.0
0,1,0,0,0,0,1,0,1,124,1.22,3,285.0
0,1,0,0,0,1,0,0,0,181,1.77,2,59.0
0,0,0,0,1,1,0,0,0,333,3.19,6,36.0
0,0,0,1,0,0,1,0,0,441,4.5,1,99.0
0,1,0,0,0,1,0,0,0,45,0.46,2,39.0
0,1,0,0,0,1,0,0,0,9,0.09,2,60.0
0,0,1,0,0,1,0,0,0,0,0.0,7,90.0
0,0,1,0,0,0,1,0,0,38,0.5,13,105.0
0,1,0,0,0,0,1,0,1,248,2.39,2,135.0
1,0,0,0,0,0,1,0,1,143,1.38,2,390.0
0,1,0,0,0,1,0,0,0,36,0.41,4,70.0
1,0,0,0,0,1,0,0,0,0,0.0,2,75.0
0,1,0,0,0,1,0,0,0,14,0.14,4,60.0
1,0,0,0,0,0,1,0,1,0,0.0,1,200.0
0,1,0,0,0,1,0,0,0,279,2.69,1,100.0
0,1,0,0,0,1,0,0,0,18,0.22,4,70.0
0,1,0,0,0,1,0,0,1,50,3.55,1,110.0
0,1,0,0,0,1,0,0,0,227,2.27,2,60.0
1,0,0,0,0,0,1,0,0,1,0.16,1,90.0
1,0,0,0,0,1,0,0,0,203,1.96,2,68.0
1,0,0,0,0,0,1,0,1,210,2.1,1,115.0
0,1,0,0,0,1,0,0,0,64,0.67,1,75.0
0,1,0,0,0,1,0,0,0,0,0.0,1,60.0
1,0,0,0,0,0,1,0,1,5,0.15,1,129.0
0,1,0,0,0,0,1,0,1,49,0.48,1,130.0
0,1,0,0,0,0,1,0,0,132,1.27,1,95.0
1,0,0,0,0,1,0,0,0,20,0.26,1,75.0
0,1,0,0,0,0,1,0,1,11,0.11,1,175.0
0,1,0,0,0,0,1,0,1,51,0.57,1,190.0
0,1,0,0,0,1,0,0,0,15,0.15,5,49.0
1,0,0,0,0,0,1,0,1,67,1.31,1,212.0
1,0,0,0,0,1,0,0,0,109,1.11,3,95.0
0,1,0,0,0,0,1,0,1,9,0.11,1,140.0
1,0,0,0,0,0,1,0,1,187,1.87,1,135.0
0,1,0,0,0,0,1,0,1,214,2.08,2,150.0
0,1,0,0,0,0,1,0,1,69,0.79,2,190.0
1,0,0,0,0,0,1,0,1,22,0.26,1,124.0
0,1,0,0,0,0,1,0,1,56,0.56,1,135.0
1,0,0,0,0,1,0,0,1,93,0.93,1,122.0
1,0,0,0,0,1,0,0,1,104,1.05,2,109.0
1,0,0,0,0,1,0,0,0,64,0.68,1,85.0
0,1,0,0,0,0,1,0,1,127,1.25,2,145.0
1,0,0,0,0,0,1,0,1,30,0.32,1,195.0
0,1,0,0,0,0,1,0,1,106,1.34,3,250.0
0,1,0,0,0,1,0,0,1,6,0.1,1,125.0
1,0,0,0,0,0,1,0,1,191,1.88,1,575.0
1,0,0,0,0,0,1,0,1,48,0.55,1,150.0
0,1,0,0,0,1,0,0,0,47,0.49,1,70.0
1,0,0,0,0,1,0,0,0,120,1.27,1,90.0
1,0,0,0,0,1,0,0,0,52,0.63,1,65.0
1,0,0,0,0,0,1,0,1,48,0.48,4,500.0
1,0,0,0,0,0,1,0,1,32,0.43,2,250.0
1,0,0,0,0,0,1,0,1,43,0.42,1,125.0
1,0,0,0,0,0,1,0,1,39,0.44,1,200.0
0,1,0,0,0,0,1,0,1,50,0.5,1,229.0
0,0,1,0,0,0,1,0,0,4,0.35,2,90.0
1,0,0,0,0,0,1,0,1,38,0.39,1,110.0
0,1,0,0,0,1,0,0,0,29,0.36,1,59.0
0,1,0,0,0,0,1,0,1,59,0.6,1,195.0
0,1,0,0,0,0,1,0,1,68,0.67,2,169.0
1,0,0,0,0,0,1,0,1,26,0.27,3,113.0
1,0,0,0,0,0,1,0,1,31,0.31,1,250.0
0,0,0,1,0,0,1,0,1,198,2.01,1,115.0
0,1,0,0,0,1,0,0,0,1,0.01,1,55.0
0,1,0,0,0,1,0,0,0,220,2.17,2,69.0
1,0,0,0,0,0,1,0,1,286,2.81,1,150.0
0,1,0,0,0,0,1,0,1,398,3.97,3,169.0
0,1,0,0,0,1,0,0,1,36,0.36,28,179.0
1,0,0,0,0,1,0,0,1,36,0.36,1,150.0
0,1,0,0,0,0,1,0,1,6,0.1,1,135.0
0,1,0,0,0,0,1,0,1,14,0.3,1,350.0
0,1,0,0,0,1,0,0,1,76,0.76,6,120.0
1,0,0,0,0,1,0,0,0,182,1.81,1,71.0
0,1,0,0,0,1,0,0,1,8,0.09,28,349.0
0,1,0,0,0,1,0,0,1,7,0.07,28,349.0
0,1,0,0,0,0,1,0,1,34,0.51,2,165.0
0,1,0,0,0,1,0,0,1,2,0.02,28,249.0
0,1,0,0,0,1,0,0,0,66,0.68,2,100.0
0,1,0,0,0,0,1,0,1,80,0.85,2,200.0
1,0,0,0,0,0,1,0,1,240,2.4,1,169.0
0,1,0,0,0,0,1,0,1,46,1.07,1,185.0
0,1,0,0,0,0,1,0,0,228,2.27,1,65.0
0,1,0,0,0,0,1,0,1,5,0.05,1,130.0
0,1,0,0,0,0,1,0,1,8,0.11,1,199.0
1,0,0,0,0,0,1,0,1,33,0.33,1,225.0
0,1,0,0,0,1,0,0,1,13,0.14,28,179.0
0,1,0,0,0,0,1,0,1,5,0.05,1,150.0
1,0,0,0,0,0,1,0,1,388,3.88,1,139.0
