neighborhood_manhattan,neighborhood_brooklyn,neighborhood_bronx,neighborhood_queens,neighborhood_staten_island,room_type_private,room_type_entire,room_type_shared,number_of_reviews,reviews_per_month,calculated_host_listings_count
0,0,0,1,0,1,0,0,0,0.0,1
1,0,0,0,0,1,0,0,24,0.31,2
0,1,0,0,0,1,0,0,0,0.0,2
0,1,0,0,0,1,0,0,0,0.0,1
1,0,0,0,0,0,0,1,1,1.0,6
0,1,0,0,0,0,1,0,5,0.25,1
1,0,0,0,0,1,0,0,0,0.0,1
1,0,0,0,0,0,1,0,6,0.11,1
0,1,0,0,0,1,0,0,0,0.0,2
1,0,0,0,0,1,0,0,1,0.15,1
0,0,0,1,0,0,1,0,5,3.19,1
0,1,0,0,0,1,0,0,0,0.0,1
0,0,0,0,1,0,1,0,25,0.91,3
1,0,0,0,0,1,0,0,3,3.0,9
0,1,0,0,0,1,0,0,0,0.0,1
1,0,0,0,0,0,1,0,4,0.41,1
1,0,0,0,0,1,0,0,52,4.26,3
1,0,0,0,0,0,1,0,1,0.02,1
0,1,0,0,0,1,0,0,7,0.96,5
0,0,0,0,1,1,0,0,34,2.06,2
0,1,0,0,0,1,0,0,5,0.34,1
1,0,0,0,0,1,0,0,1,0.02,1
0,0,0,1,0,1,0,0,105,3.07,1
1,0,0,0,0,0,1,0,0,0.0,1
1,0,0,0,0,0,1,0,8,0.97,2
1,0,0,0,0,1,0,0,15,4.84,4
0,1,0,0,0,1,0,0,0,0.0,25
0,1,0,0,0,0,1,0,80,2.52,2
1,0,0,0,0,0,1,0,2,2.0,1
0,1,0,0,0,1,0,0,0,0.0,4
0,1,0,0,0,1,0,0,16,0.53,6
0,1,0,0,0,1,0,0,24,3.16,3
0,0,1,0,0,1,0,0,0,0.0,4
1,0,0,0,0,0,1,0,10,1.47,1
1,0,0,0,0,1,0,0,6,1.1,2
1,0,0,0,0,0,1,0,0,0.0,1
0,1,0,0,0,0,1,0,21,2.7,5
1,0,0,0,0,1,0,0,1,1.0,1
1,0,0,0,0,0,1,0,1,0.02,1
1,0,0,0,0,0,1,0,6,0.28,1
0,1,0,0,0,1,0,0,13,0.24,2
1,0,0,0,0,0,1,0,2,2.0,1
1,0,0,0,0,1,0,0,1,0.02,1
0,1,0,0,0,0,1,0,4,0.09,1
0,0,0,1,0,1,0,0,0,0.0,4
1,0,0,0,0,1,0,0,7,0.28,3
1,0,0,0,0,0,1,0,103,3.11,1
1,0,0,0,0,0,1,0,1,0.68,33
1,0,0,0,0,0,1,0,0,0.0,2
1,0,0,0,0,1,0,0,0,0.0,1
0,1,0,0,0,1,0,0,35,3.85,4
0,1,0,0,0,0,1,0,19,0.68,1
1,0,0,0,0,1,0,0,28,5.53,3
0,0,0,1,0,1,0,0,2,0.75,103
1,0,0,0,0,0,1,0,3,0.45,9
0,0,0,1,0,0,1,0,8,3.16,1
1,0,0,0,0,0,1,0,5,0.1,1
0,1,0,0,0,1,0,0,5,0.06,1
0,1,0,0,0,1,0,0,4,2.14,2
1,0,0,0,0,0,1,0,0,0.0,121
0,1,0,0,0,0,1,0,1,0.77,7
0,1,0,0,0,1,0,0,0,0.0,6
0,1,0,0,0,1,0,0,295,3.56,2
1,0,0,0,0,0,1,0,3,0.12,1
1,0,0,0,0,1,0,0,1,0.04,1
1,0,0,0,0,0,1,0,0,0.0,1
0,0,0,1,0,0,1,0,34,3.76,1
0,1,0,0,0,0,1,0,0,0.0,1
0,1,0,0,0,0,1,0,266,4.49,1
1,0,0,0,0,0,1,0,80,1.35,1
1,0,0,0,0,0,1,0,0,0.0,232
1,0,0,0,0,1,0,0,15,0.4,12
1,0,0,0,0,0,1,0,11,0.82,1
1,0,0,0,0,0,1,0,3,0.12,1
1,0,0,0,0,1,0,0,3,0.08,1
1,0,0,0,0,0,1,0,0,0.0,1
1,0,0,0,0,1,0,0,38,0.77,5
0,1,0,0,0,1,0,0,16,0.71,1
1,0,0,0,0,0,1,0,44,2.3,1
0,1,0,0,0,0,1,0,11,2.84,3
0,1,0,0,0,1,0,0,13,0.91,1
0,1,0,0,0,0,1,0,25,0.29,1
1,0,0,0,0,0,1,0,0,0.0,65
1,0,0,0,0,1,0,0,12,1.19,1
1,0,0,0,0,0,1,0,3,0.07,1
0,1,0,0,0,1,0,0,2,0.05,1
0,1,0,0,0,0,1,0,1,0.09,3
1,0,0,0,0,0,1,0,1,0.03,1
1,0,0,0,0,0,1,0,0,0.0,1
1,0,0,0,0,1,0,0,0,0.0,20
0,1,0,0,0,0,1,0,363,4.55,2
1,0,0,0,0,0,1,0,4,0.31,1
0,1,0,0,0,1,0,0,241,5.42,4
1,0,0,0,0,0,1,0,0,0.0,49
1,0,0,0,0,0,1,0,9,0.25,14
1,0,0,0,0,1,0,0,0,0.0,5
0,1,0,0,0,0,1,0,14,1.85,2
0,1,0,0,0,1,0,0,3,0.06,1
0,1,0,0,0,1,0,0,26,3.59,4
1,0,0,0,0,0,1,0,0,0.0,1
1,0,0,0,0,0,1,0,11,0.24,1
1,0,0,0,0,0,1,0,33,2.63,2
0,1,0,0,0,0,1,0,0,0.0,1
0,1,0,0,0,0,1,0,107,4.77,3
1,0,0,0,0,1,0,0,2,0.07,4
1,0,0,0,0,1,0,0,1,0.1,3
1,0,0,0,0,1,0,0,0,0.0,1
1,0,0,0,0,0,1,0,24,3.17,2
0,1,0,0,0,0,1,0,42,1.71,1
1,0,0,0,0,1,0,0,17,1.44,1
1,0,0,0,0,1,0,0,18,0.69,1
1,0,0,0,0,0,1,0,1,0.05,1
1,0,0,0,0,0,1,0,0,0.0,1
1,0,0,0,0,0,1,0,2,0.06,1
0,1,0,0,0,1,0,0,31,3.0,2
0,0,0,1,0,1,0,0,1,0.03,1
1,0,0,0,0,1,0,0,4,0.17,1
1,0,0,0,0,0,1,0,85,4.4,1
1,0,0,0,0,1,0,0,10,0.25,1
1,0,0,0,0,0,1,0,3,0.24,3
1,0,0,0,0,1,0,0,44,2.07,2
0,0,0,1,0,0,1,0,11,1.07,1
1,0,0,0,0,0,1,0,5,0.13,1
0,1,0,0,0,1,0,0,96,5.43,1
0,1,0,0,0,1,0,0,4,0.13,1
1,0,0,0,0,1,0,0,86,4.48,2
0,1,0,0,0,1,0,0,5,0.27,1
1,0,0,0,0,0,1,0,58,4.89,1
0,1,0,0,0,1,0,0,115,2.87,5
1,0,0,0,0,0,1,0,1,1.0,1
0,1,0,0,0,1,0,0,31,1.26,2
0,0,0,1,0,1,0,0,2,0.32,2
0,1,0,0,0,0,1,0,0,0.0,2
1,0,0,0,0,0,1,0,4,0.06,1
0,0,0,1,0,1,0,0,27,0.75,1
1,0,0,0,0,1,0,0,1,1.0,1
0,0,1,0,0,0,1,0,0,0.0,1
0,1,0,0,0,0,1,0,21,0.33,1
1,0,0,0,0,0,1,0,14,0.45,1
0,1,0,0,0,1,0,0,5,0.25,1
1,0,0,0,0,0,1,0,1,0.19,1
0,1,0,0,0,0,1,0,119,2.23,1
1,0,0,0,0,0,1,0,4,0.07,1
0,1,0,0,0,0,1,0,5,0.12,1
1,0,0,0,0,1,0,0,73,4.98,2
0,1,0,0,0,0,1,0,98,3.4,1
1,0,0,0,0,1,0,0,141,2.0,2
0,1,0,0,0,0,1,0,3,0.09,2
1,0,0,0,0,0,1,0,21,1.09,1
1,0,0,0,0,0,1,0,4,4.0,1
0,0,0,1,0,0,1,0,1,1.0,1
1,0,0,0,0,0,0,1,13,1.34,2
1,0,0,0,0,0,1,0,0,0.0,1
1,0,0,0,0,1,0,0,0,0.0,1
1,0,0,0,0,1,0,0,9,0.6,1
0,1,0,0,0,0,1,0,7,0.16,2
1,0,0,0,0,0,1,0,1,0.06,1
0,1,0,0,0,0,1,0,6,0.15,4
1,0,0,0,0,0,1,0,1,0.08,1
0,0,0,1,0,1,0,0,19,2.13,1
0,1,0,0,0,1,0,0,2,0.12,1
0,0,0,1,0,1,0,0,107,1.29,2
0,0,0,1,0,1,0,0,0,0.0,1
0,1,0,0,0,1,0,0,6,2.22,6
1,0,0,0,0,0,0,1,38,0.56,1
1,0,0,0,0,1,0,0,0,0.0,5
0,1,0,0,0,1,0,0,10,4.17,6
0,1,0,0,0,0,1,0,12,0.19,1
1,0,0,0,0,1,0,0,0,0.0,1
0,1,0,0,0,1,0,0,0,0.0,1
0,1,0,0,0,0,1,0,2,0.05,1
1,0,0,0,0,0,1,0,0,0.0,1
0,1,0,0,0,1,0,0,30,1.62,1
0,1,0,0,0,1,0,0,0,0.0,1
0,1,0,0,0,0,1,0,1,0.03,1
0,1,0,0,0,0,1,0,7,0.11,2
0,1,0,0,0,1,0,0,1,0.77,1
0,1,0,0,0,1,0,0,1,0.2,2
1,0,0,0,0,0,1,0,2,0.06,1
1,0,0,0,0,0,1,0,26,0.55,1
0,1,0,0,0,1,0,0,4,0.63,1
1,0,0,0,0,1,0,0,10,0.58,1
1,0,0,0,0,0,1,0,0,0.0,232
0,0,0,1,0,0,1,0,14,0.22,1
0,1,0,0,0,1,0,0,80,3.1,3
1,0,0,0,0,0,1,0,14,0.3,1
1,0,0,0,0,0,1,0,0,0.0,1
1,0,0,0,0,0,1,0,121,2.19,1
0,1,0,0,0,0,1,0,11,0.48,1
0,0,1,0,0,1,0,0,9,3.38,1
1,0,0,0,0,0,1,0,6,1.41,327
1,0,0,0,0,0,1,0,3,3.0,1
1,0,0,0,0,1,0,0,38,2.97,3
1,0,0,0,0,1,0,0,1,0.04,1
0,0,0,0,1,1,0,0,25,0.66,2
0,0,0,1,0,0,1,0,2,0.27,1
0,1,0,0,0,1,0,0,152,3.16,2
0,1,0,0,0,1,0,0,3,0.16,1
0,1,0,0,0,0,1,0,2,0.13,1
1,0,0,0,0,0,1,0,7,0.12,52
0,1,0,0,0,1,0,0,5,3.06,3
1,0,0,0,0,0,1,0,0,0.0,1
1,0,0,0,0,0,1,0,13,0.3,15
0,1,0,0,0,0,1,0,0,0.0,1
1,0,0,0,0,0,1,0,209,2.7,1
1,0,0,0,0,0,1,0,22,0.71,1
0,1,0,0,0,0,1,0,61,0.72,1
0,1,0,0,0,0,1,0,39,1.12,1
1,0,0,0,0,1,0,0,2,0.03,1
0,1,0,0,0,0,1,0,2,2.0,1
1,0,0,0,0,1,0,0,3,0.08,2
0,1,0,0,0,0,1,0,68,1.73,1
0,1,0,0,0,1,0,0,1,0.06,3
